id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16570521,Lands' End hideaway,21303289,Eugenia And Alessandro,,Seacliff,37.78733113,-122.4921169,Private room,120,4,15,9/4/2017,2.02,2,70
8001958,Ocean and park front panoramic view,24591867,Raul,,Seacliff,37.78070781,-122.50916,Entire home/apt,1850,1,0,,,1,0
8388658,Mid-century Seacliff near GG Bridge,9996441,Howard,,Seacliff,37.78766423,-122.4891522,Entire home/apt,895,3,0,,,1,0
16064495,Charming home with views of the Golden Gate Bridge,25596860,Teresa,,Seacliff,37.78792334,-122.484357,Entire home/apt,975,2,0,,,1,0
15664146,Spacious 3 beds in convenient/safe neighborhood,101134145,Ey,,Seacliff,37.78436456,-122.4895147,Entire home/apt,295,2,40,9/14/2017,3.86,1,123
1427660,Charming Studio Apt at Ocean Beach,2275604,Laurie,,Seacliff,37.77523613,-122.5091375,Entire home/apt,159,2,332,9/26/2017,6.65,1,51
19745324,Super Fabulous Mansion!,5569348,Sako,,Seacliff,37.78648098,-122.4886825,Entire home/apt,750,3,7,9/20/2017,2.88,1,162
18022892,Hardly Strictly Bluegrass Festival blocks away!,123931387,Milena,,Seacliff,37.78037525,-122.5059029,Entire home/apt,169,6,4,9/17/2017,0.83,2,175
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77706907,-122.5092319,Entire home/apt,170,30,6,8/31/2017,0.08,25,293
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931904,-122.5096352,Entire home/apt,183,3,142,9/29/2017,3.76,2,323
9904485,Great Room!,13046907,John,,Seacliff,37.78548686,-122.4880113,Private room,195,1,0,,,2,0
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,,Seacliff,37.78156409,-122.4944245,Private room,95,3,58,9/26/2017,1.3,2,77
19905527,Dream San Francisco Retreat,28223109,Jennifer,,Seacliff,37.78623451,-122.4934172,Entire home/apt,5000,1,2,9/24/2017,2,2,353
21065885,Golden Gate Penthouse Suite at Casa al Mare,28223109,Jennifer,,Seacliff,37.78703531,-122.4932154,Private room,1995,1,0,,,2,353
276170,Charming Craftsman Home,1443059,Lisa,,Seacliff,37.78261313,-122.4945522,Entire home/apt,280,20,5,7/14/2015,0.08,1,122
18396762,Bliss Sanctuary Rejuvenation Home,5684789,Chinnamasta,,Seacliff,37.78161681,-122.495435,Entire home/apt,180,2,15,9/24/2017,3.52,1,78
20281663,Lovely SF Bedroom/Bath- Blocks from the Beach.,123931387,Milena,,Seacliff,37.78023429,-122.5066545,Private room,123,3,1,9/5/2017,1,2,91
929796,Cozy one bedroom apartment available,5006769,Tory,,Seacliff,37.78454706,-122.4882697,Entire home/apt,150,2,4,9/26/2017,0.08,1,3
16362304,Best Master Suite in Town,36381578,Harris,,Seacliff,37.77984146,-122.5054831,Private room,85,3,27,9/24/2017,3.13,3,98
6938818,Best Secret in Town,36381578,Harris,,Seacliff,37.78065902,-122.5056348,Private room,89,3,66,9/13/2017,2.39,3,93
8411606,comfy oceanside nest,21303289,Eugenia And Alessandro,,Seacliff,37.78667508,-122.4931617,Private room,135,2,104,9/23/2017,4.53,2,66
