fips,area_name,Population 2014,18 and younger (%),Female,White,Minority,Black,American Indian/Alaskan Native,Asian,Native Hawaiian/Pacific Islander,Two or More Races,Hispanic or Latino,"White, not Hispanic or Latino",Foreign born persons,Language other than English spoken at home,High school,College,Veterans,Commute,Median household income,Poverty,Total number of firms,Black-owned firms,American Indian- and Alaska Native-owned firms,Asian-owned firms,Native Hawaiian- and Other Pacific Islander-owned firms,Hispanic-owned firms,Hispanic-owned firms,Population per square mile,Democrat_votes,Dvotes_of_total_votes,Dvotes_of_population,Republican_votes,Rvotes_of_total_votes,Rvotes_of_population,Total Votes,Winning_party
1000,Alabama,4849377,22.8,51.5,69.7,30.3,26.7,0.7,1.3,0.1,1.5,4.1,66.2,3.5,5.2,83.1,22.6,388865,24.2,43253,18.6,382350,14.8,0.8,1.8,0.1,1.2,28.1,94.4,386327,0.315637207,0.079665285,837632,0.684362793,0.172729817,1223959,Republican
2000,Alaska,736732,25.3,47.4,66.9,33.2,3.9,14.8,6.1,1.3,7.1,6.8,61.9,7,16.2,91.6,27.5,71004,18.8,70760,9.9,68728,1.5,10,3.1,0.3,0,25.9,1.2,539,0.023988607,0.000731609,21930,0.976011393,0.029766591,22469,Republican
4000,Arizona,6731484,24.1,50.3,83.7,16.3,4.7,5.3,3.3,0.3,2.7,30.5,56.2,13.4,26.8,85.7,26.9,522382,24.6,49774,17.9,491529,2,1.9,3.3,0,10.7,28.1,56.3,399097,0.478418844,0.059288115,435103,0.521581156,0.06463701,834200,Republican
5000,Arkansas,2966369,23.8,50.9,79.7,20.3,15.6,1,1.5,0.3,1.9,7,73.4,4.5,7.2,83.7,20.1,237311,21.3,40768,19.2,238994,5.5,1.1,1.4,0.1,2.3,24.5,56,209448,0.345640303,0.070607534,396523,0.654359697,0.133672851,605971,Republican
6000,California,38802500,23.6,50.3,73.2,26.8,6.5,1.7,14.4,0.5,3.7,38.6,38.5,27,43.7,81.2,30.7,1893539,27.2,61094,15.9,3425510,4,1.3,14.9,0.3,16.5,30.3,239.1,3442623,0.69714169,0.08872168,1495574,0.30285831,0.038543238,4938197,Democrat
8000,Colorado,5355866,23.3,49.8,87.7,12.3,4.5,1.6,3.1,0.2,2.9,21.2,69,9.7,16.8,90.2,37,399458,24.5,58433,13.2,547770,1.7,0.8,2.6,0.1,6.2,29.2,48.5,121184,1,0.022626406,0,0,0,121184,N/A
9000,Connecticut,3596677,21.6,51.2,81.2,18.8,11.5,0.5,4.5,0.1,2.2,15,68.8,13.6,21.5,89.2,36.5,217947,24.8,69461,10.2,332150,4.4,0.5,3.3,0,4.2,28.1,738.1,322485,0.606971176,0.08966193,208817,0.393028824,0.058058313,531302,Democrat
10000,Delaware,935614,21.8,51.6,70.8,29.3,22.2,0.7,3.8,0.1,2.5,8.9,63.7,8.4,12.6,87.7,28.9,75081,24.8,59878,11.7,74573,8.7,0,4,0,2.1,26.1,460.8,92609,0.577305256,0.098982059,67807,0.422694744,0.072473264,160416,Democrat
12000,Florida,19893297,20.4,51.1,77.8,22.2,16.8,0.5,2.8,0.1,2,24.1,55.8,19.4,27.4,86.1,26.4,1569406,25.9,46956,16.3,2009589,9,0.5,3.2,0.1,22.4,28.9,350.6,1664003,0.422236229,0.083646416,2276926,0.577763771,0.114456945,3940929,Republican
13000,Georgia,10097343,24.7,51.2,62.1,37.9,31.5,0.5,3.8,0.1,2,9.3,54.3,9.7,13.3,84.7,28,690208,27,49179,18.2,901105,20.4,0.7,5.1,0.1,3.6,30.9,168.4,757340,0.372534176,0.07500389,1275601,0.627465824,0.126330362,2032941,Republican
15000,Hawaii,1419561,21.7,49.4,26.7,73.4,2.5,0.4,37.5,10,23,10.1,23,17.9,25.4,90.4,30.1,112625,26,67402,11.2,120374,0.9,1.3,47.2,9.5,3.6,31,211.8,33658,0.717868873,0.023710147,13228,0.282131127,0.009318374,46886,Democrat
16000,Idaho,1634464,26.4,49.9,93.5,6.4,0.8,1.7,1.4,0.2,2.3,12,82.8,5.9,10.4,88.8,25.1,122955,20,46767,15.5,151671,0.2,0.9,0.8,0,2.6,23.5,19,23705,0.099188666,0.014503226,215284,0.900811334,0.131715351,238989,Republican
17000,Illinois,12880580,23.2,50.9,77.5,22.5,14.7,0.6,5.3,0.1,1.8,16.7,62.3,13.8,22.3,87.3,31.4,727919,28,56797,14.1,1123817,9.5,0.5,5.3,0.1,5,30.5,231.1,1987834,0.589417996,0.154327988,1384703,0.410582004,0.107503156,3372537,Democrat
18000,Indiana,6596855,24,50.7,86.1,14,9.6,0.4,2,0.1,1.9,6.6,80.3,4.7,8.2,87.2,23.2,455105,23.2,48248,15.4,482847,4.6,0.5,1.8,0,1.8,26.8,181,638638,0.37145428,0.096809465,1080653,0.62854572,0.163813363,1719291,Republican
19000,Iowa,3107126,23.4,50.3,92.1,7.9,3.4,0.5,2.2,0.1,1.7,5.6,87.1,4.5,7.2,91,25.7,226175,18.8,51843,12.4,259931,0.8,0.2,1.1,0.1,0.9,25.5,54.5,139980,0.428461237,0.045051279,186724,0.571538763,0.060095406,326704,Republican
